Code,Description,Airport_Location,Airport_Name
10001,"Afognak Lake, AK: Afognak Lake Airport","Afognak Lake, AK",Afognak Lake Airport
10003,"Granite Mountain, AK: Bear Creek Mining Strip","Granite Mountain, AK",Bear Creek Mining Strip
10004,"Lik, AK: Lik Mining Camp","Lik, AK",Lik Mining Camp
10005,"Little Squaw, AK: Little Squaw Airport","Little Squaw, AK",Little Squaw Airport
10006,"Kizhuyak, AK: Kizhuyak Bay","Kizhuyak, AK",Kizhuyak Bay
10007,"Klawock, AK: Klawock Seaplane Base","Klawock, AK",Klawock Seaplane Base
10008,"Elizabeth Island, AK: Elizabeth Island Airport","Elizabeth Island, AK",Elizabeth Island Airport
10009,"Homer, AK: Augustin Island","Homer, AK",Augustin Island
10010,"Hudson, NY: Columbia County","Hudson, NY",Columbia County
10011,"Peach Springs, AZ: Grand Canyon West","Peach Springs, AZ",Grand Canyon West
10012,"Blairstown, NJ: Blairstown Airport","Blairstown, NJ",Blairstown Airport
10013,"Crosbyton, TX: Crosbyton Municipal","Crosbyton, TX",Crosbyton Municipal
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake","Fairbanks/Ft. Wainwright, AK",Blair Lake
10015,"Deadmans Bay, AK: Deadmans Bay Airport","Deadmans Bay, AK",Deadmans Bay Airport
10016,"Hallo Bay, AK: Hallo Bay Airport","Hallo Bay, AK",Hallo Bay Airport
10017,"Red Lake, AK: Red Lake Airport","Red Lake, AK",Red Lake Airport
10018,"Shell Lake, AK: Shell Lake Airport","Shell Lake, AK",Shell Lake Airport
10019,"Kougarok, AK: Navigator Airstrip","Kougarok, AK",Navigator Airstrip
10020,"Selawik, AK: Roland Norton Memorial","Selawik, AK",Roland Norton Memorial
10021,"Pillar Bay, AK: Pillar Bay Airport","Pillar Bay, AK",Pillar Bay Airport
10022,"Johnstone Point, AK: Johnstone Point Airport","Johnstone Point, AK",Johnstone Point Airport
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport","Tikchik Lodge, AK",Tikchik Lodge Airport
10024,"Bell Creek, AK: Bell Creek Airport","Bell Creek, AK",Bell Creek Airport
10025,"Cinnabar, AK: Cinnabar Airport","Cinnabar, AK",Cinnabar Airport
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport","Mountaintop Mine, AK",Mountaintop Mine Airport
10027,"Whitebear, AK: Whitebear Airport","Whitebear, AK",Whitebear Airport
10028,"Puviaq, AK: Puviaq Airport","Puviaq, AK",Puviaq Airport
10029,"Arley Lake, AK: Arley Lake Airport","Arley Lake, AK",Arley Lake Airport
10030,"Port Vita, AK: Port Vita Airport","Port Vita, AK",Port Vita Airport
10031,"Kantishna, AK: Kantishna Airport","Kantishna, AK",Kantishna Airport
10033,"Alpine, AK: Alpine Airstrip","Alpine, AK",Alpine Airstrip
10034,"Serpentine, AK: Serpentine Airport","Serpentine, AK",Serpentine Airport
10035,"Driftwood Bay, AK: Driftwood Bay Airport","Driftwood Bay, AK",Driftwood Bay Airport
10036,"Bradley Lake, AK: Bradley Lake Airport","Bradley Lake, AK",Bradley Lake Airport
10037,"Chilkat Lake, AK: Chilkat Lake Airport","Chilkat Lake, AK",Chilkat Lake Airport
10038,"Nugget Creek, AK: Nugget Creek Airport","Nugget Creek, AK",Nugget Creek Airport
10039,"Ivotuk, AK: Ivotuk Airstrip","Ivotuk, AK",Ivotuk Airstrip
10040,"Pogo Mines, AK: Pogo Mines Airport","Pogo Mines, AK",Pogo Mines Airport
10041,"Ayakulik River, AK: Ayakulik River Airport","Ayakulik River, AK",Ayakulik River Airport
10042,"Kiluda Bay, AK: Kiluda Bay Airport","Kiluda Bay, AK",Kiluda Bay Airport
10043,"Terror Lake, AK: Terror Lake Airport","Terror Lake, AK",Terror Lake Airport
10044,"Selief Bay, AK: Selief Bay Airport","Selief Bay, AK",Selief Bay Airport
10047,"Laura Lake, AK: Laura Lake Airport","Laura Lake, AK",Laura Lake Airport
10049,"Deep Bay, AK: Deep Bay Airport","Deep Bay, AK",Deep Bay Airport
10050,"Kako, AK: Kako Airport","Kako, AK",Kako Airport
10051,"Molly Creek, AK: Molly Creek Airport","Molly Creek, AK",Molly Creek Airport
10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport","Ptarmigan Lake, AK",Ptarmigan Lake Airport
10053,"Cape Simpson, AK: Cape Simpson Airport","Cape Simpson, AK",Cape Simpson Airport
10054,"Kogru River, AK: Kogru River Airport","Kogru River, AK",Kogru River Airport
10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport","Teshepkuk Lake, AK",Teshepkuk Lake Airport
10056,"Kodiak Island, AK: Trident Basin Seaplane Base","Kodiak Island, AK",Trident Basin Seaplane Base
10058,"Lake Florence, AK: Lake Florence Airport","Lake Florence, AK",Lake Florence Airport
10059,"Lake Hasselborg, AK: Lake Hasselborg Airport","Lake Hasselborg, AK",Lake Hasselborg Airport
10060,"Distin Lake, AK: Distin Lake Airport","Distin Lake, AK",Distin Lake Airport
10061,"Port Hobron, AK: Port Hobron Airport","Port Hobron, AK",Port Hobron Airport
10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport","Mooseville Airstrip, AK",Mooseville Airstrip Airport
10063,"Big Bay, AK: Big Bay Airport","Big Bay, AK",Big Bay Airport
10064,"Wien Lake, AK: Wien Lake Airport","Wien Lake, AK",Wien Lake Airport
10065,"Silver Salmon Creek, AK: Silver Salmon Creek Airport","Silver Salmon Creek, AK",Silver Salmon Creek Airport
10066,"Blear Lake, AK: Blear Lake Airport","Blear Lake, AK",Blear Lake Airport
10067,"Cannery Bay, AK: Cannery Bay Airport","Cannery Bay, AK",Cannery Bay Airport
10069,"Bear Lake, AK: Johnsons Landing","Bear Lake, AK",Johnsons Landing
10070,"International Seafoods, AK: International Seafoods Airport","International Seafoods, AK",International Seafoods Airport
10071,"Cosna River, AK: Cosna River Airport","Cosna River, AK",Cosna River Airport
10072,"Ivatuk, AK: Ivatuk Airport","Ivatuk, AK",Ivatuk Airport
10074,"Cape Sarichef, AK: Cape Sarichef Airport","Cape Sarichef, AK",Cape Sarichef Airport
10075,"Taylor Mountain Mine, AK: Taylor Mountain","Taylor Mountain Mine, AK",Taylor Mountain
10076,"Yukon Charley Rivvers, AK: Coal Creek","Yukon Charley Rivvers, AK",Coal Creek
10078,"Karluk Portage, AK: Karluk Portage Airport","Karluk Portage, AK",Karluk Portage Airport
10079,"Hope, AK: Hope Airport","Hope, AK",Hope Airport
10080,"Viekoda Bay, AK: Viekoda Bay Airport","Viekoda Bay, AK",Viekoda Bay Airport
10082,"Cold Bay, AK: Cathedral Strip","Cold Bay, AK",Cathedral Strip
10083,"Village Islands, AK: Village Islands Airport","Village Islands, AK",Village Islands Airport
10084,"Homer, AK: Bear Cove Farm","Homer, AK",Bear Cove Farm
10085,"Chinitna Bay, AK: Chinitna Bay Airport","Chinitna Bay, AK",Chinitna Bay Airport
10086,"McKinley Park, AK: McKinley National Park","McKinley Park, AK",McKinley National Park
10087,"Nanwalek, AK: Dog Fish Bay","Nanwalek, AK",Dog Fish Bay
