Code,Description,Airport_Location,Airport_Name
1000101,"Afognak Lake, AK: Afognak Lake Airport","Afognak Lake, AK",Afognak Lake Airport
1000301,"Granite Mountain, AK: Bear Creek Mining Strip","Granite Mountain, AK",Bear Creek Mining Strip
1000401,"Lik, AK: Lik Mining Camp","Lik, AK",Lik Mining Camp
1000501,"Little Squaw, AK: Little Squaw Airport","Little Squaw, AK",Little Squaw Airport
1000601,"Kizhuyak, AK: Kizhuyak Bay","Kizhuyak, AK",Kizhuyak Bay
1000701,"Klawock, AK: Klawock Seaplane Base","Klawock, AK",Klawock Seaplane Base
1000801,"Elizabeth Island, AK: Elizabeth Island Airport","Elizabeth Island, AK",Elizabeth Island Airport
1000901,"Homer, AK: Augustin Island","Homer, AK",Augustin Island
1001001,"Hudson, NY: Columbia County","Hudson, NY",Columbia County
1001002,"Hudson, NY: Columbia County","Hudson, NY",Columbia County
1001101,"Peach Springs, AZ: Grand Canyon West","Peach Springs, AZ",Grand Canyon West
1001102,"Peach Springs, AZ: Grand Canyon West","Peach Springs, AZ",Grand Canyon West
1001103,"Peach Springs, AZ: Grand Canyon West","Peach Springs, AZ",Grand Canyon West
1001104,"Peach Springs, AZ: Grand Canyon West","Peach Springs, AZ",Grand Canyon West
1001201,"Blairstown, NJ: Blairstown Airport","Blairstown, NJ",Blairstown Airport
1001301,"Crosbyton, TX: Crosbyton Municipal","Crosbyton, TX",Crosbyton Municipal
1001401,"Fairbanks/Ft. Wainwright, AK: Blair Lake","Fairbanks/Ft. Wainwright, AK",Blair Lake
1001402,"Fairbanks/Ft. Wainwright, AK: Blair Lake","Fairbanks/Ft. Wainwright, AK",Blair Lake
1001501,"Deadmans Bay, AK: Deadmans Bay Airport","Deadmans Bay, AK",Deadmans Bay Airport
1001601,"Hallo Bay, AK: Hallo Bay Airport","Hallo Bay, AK",Hallo Bay Airport
1001701,"Red Lake, AK: Red Lake Airport","Red Lake, AK",Red Lake Airport
1001801,"Shell Lake, AK: Shell Lake Airport","Shell Lake, AK",Shell Lake Airport
1001901,"Kougarok, AK: Navigator Airstrip","Kougarok, AK",Navigator Airstrip
1002001,"Selawik, AK: Roland Norton Memorial Airstrip","Selawik, AK",Roland Norton Memorial Airstrip
1002002,"Selawik, AK: Roland Norton Memorial","Selawik, AK",Roland Norton Memorial
1002101,"Pillar Bay, AK: Pillar Bay Airport","Pillar Bay, AK",Pillar Bay Airport
1002201,"Johnstone Point, AK: Johnstone Point Airport","Johnstone Point, AK",Johnstone Point Airport
1002202,"Johnstone Point, AK: Johnstone Point Airport","Johnstone Point, AK",Johnstone Point Airport
1002203,"Johnstone Point, AK: Johnstone Point Airport","Johnstone Point, AK",Johnstone Point Airport
1002204,"Johnstone Point, AK: Johnstone Point Airport","Johnstone Point, AK",Johnstone Point Airport
1002205,"Johnstone Point, AK: Johnstone Point Airport","Johnstone Point, AK",Johnstone Point Airport
1002301,"Tikchik Lodge, AK: Tikchik Lodge Airport","Tikchik Lodge, AK",Tikchik Lodge Airport
1002302,"Tikchik Lodge, AK: Tikchik Lodge Airport","Tikchik Lodge, AK",Tikchik Lodge Airport
1002401,"Bell Creek, AK: Bell Creek Airport","Bell Creek, AK",Bell Creek Airport
1002501,"Cinnabar, AK: Cinnabar Airport","Cinnabar, AK",Cinnabar Airport
1002601,"Mountaintop Mine, AK: Mountaintop Mine Airport","Mountaintop Mine, AK",Mountaintop Mine Airport
1002701,"Whitebear, AK: Whitebear Airport","Whitebear, AK",Whitebear Airport
1002801,"Puviaq, AK: Puviaq Airport","Puviaq, AK",Puviaq Airport
1002802,"Puviaq, AK: Puviaq Airport","Puviaq, AK",Puviaq Airport
1002901,"Arley Lake, AK: Arley Lake Airport","Arley Lake, AK",Arley Lake Airport
1003001,"Port Vita, AK: Port Vita Airport","Port Vita, AK",Port Vita Airport
1003101,"Kantishna, AK: Kantishna Airport","Kantishna, AK",Kantishna Airport
1003102,"Kantishna, AK: Kantishna Airport","Kantishna, AK",Kantishna Airport
1003103,"Kantishna, AK: Kantishna Airport","Kantishna, AK",Kantishna Airport
1003104,"Kantishna, AK: Kantishna Airport","Kantishna, AK",Kantishna Airport
1003301,"Alpine, AK: Alpine Airstrip","Alpine, AK",Alpine Airstrip
1003401,"Serpentine, AK: Serpentine Airport","Serpentine, AK",Serpentine Airport
1003501,"Driftwood Bay, AK: Driftwood Bay Airport","Driftwood Bay, AK",Driftwood Bay Airport
1003601,"Bradley Lake, AK: Bradley Lake Airport","Bradley Lake, AK",Bradley Lake Airport
